Ticker,Company Name,HQ City,HQ State/Province,HQ Country,ESG Risk Score,ESG Risk Score Level,ESG Risk Score Percentile,Environment Risk Score,Social Risk Score,Governance Risk Score,Controversy Level Risk Text,2019 Performance,Market Cap,Exchange,CEO,Logo Image URL,Website URL,Industry,Sector,Company Description,Grouping
AER,Aercap Holdings N.V.,Dublin,,Ireland; republic of,20,Medium,21st percentile,5.4,7.7,7.4,Moderate,55.22727273,7700000000,New York Stock Exchange,Aengus Kelly,https://financialmodelingprep.com/images-New-jpg/AER.jpg,http://www.aercap.com,Aerospace & Defense,Industrials,"AerCap Holdings NV provides aircraft leasing and aviation finance services. Its activities also include aircraft asset management, corporate services, remarketing of aircraft, collecting rental, maintenance payments and monitoring aircraft maintenance.",4
BF-B,Brown-Forman Corporation,Louisville,Kentucky,United states of america,20,Negligible,18th percentile,6,8,6,,0.029594555,32200000000,NYSE,,https://financialmodelingprep.com/images-New-jpg/BF-B.jpg,http://www.brown-forman.com,BeveragesÃ¢â‚¬â€Wineries & Distilleries,Consumer Defensive,"Brown-Forman Corporation manufactures, bottles, imports, exports, markets, and sells various alcoholic beverages worldwide. It provides spirits, wines, whiskey spirits, whiskey-based flavored liqueurs, ready-to-drink and ready-to-pour products, ready-to-drink cocktails, vodkas, tequilas, champagnes, brandy, bourbons, and liqueurs. The company offers its products primarily under the Jack Daniel's, Woodford Reserve, Canadian Mist, GlenDronach, BenRiach, Glenglassaugh, Old Forester, Early Times, Slane Irish Whiskey, Coopers' Craft, Early Times, el Jimador, Herradura, New Mix, Pepe Lopez, Antiguo, Finlandia, Korbel Champagne, and Sonoma-Cutrer brands. It is also involved in the sale of used barrels, bulk whiskey, and wine; and provision of contract bottling services. The company serves retail customers and consumers through distributors or state governments; and retailers, wholesalers, and provincial governments directly. Brown-Forman Corporation was founded in 1870 and is headqu",4
CCL,Carnival Corporation,Miami,Florida,United states of america,20,Medium,20th percentile,8.3,8.2,3.7,Significant,3.103448276,31800000000,New York Stock Exchange,Arnold W. Donald,https://financialmodelingprep.com/images-New-jpg/CCL.jpg,http://www.carnivalcorp.com,Travel & Leisure,Consumer Cyclical,"Carnival Corp is leisure travel company providing vacations to major cruise destinations across the world. It operates over 100 cruise ships brands including Carnival Cruise Lines, Holland America, Princess Cruise, Seabourn and fathom, and Cunard Line.",4
GLPI,Gaming and Leisure Properties Inc.,Wyomissing,Pennsylvania,United states of america,20,Low,20th percentile,6.1,7.1,6.8,,33.24048282,10200000000,Nasdaq Global Select,Peter M. Carlino,https://financialmodelingprep.com/images-New-jpg/GLPI.jpg,http://www.glpropinc.com,REITs,Real Estate,"Gaming and Leisure Properties Inc is a self-managed Pennsylvania REIT. It is engaged in acquiring, financing, and owning real estate property to be leased to gaming operators in triple-net lease arrangements.",4
KR,Kroger Company (The),Cincinnati,Ohio,United states of america,20,Low,20th percentile,4.7,9.4,5.9,Significant,5.418181818,22100000000,New York Stock Exchange,W. Rodney Mcmullen,https://financialmodelingprep.com/images-New-jpg/KR.jpg,http://www.kroger.com,Retail - Defensive,Consumer Defensive,"The Kroger Co operates grocery stores. Its coverage includes retail food and drug stores, multi-department stores, jewelry stores and convenience stores.",4
MRU.TO,Metro Inc.,Montreal,Quebec,Canada,20,Negligible,18th percentile,5,9,6,Significant,13.20236586,13800000000,Toronto,,https://financialmodelingprep.com/images-New-jpg/MRU.TO.jpg,http://corpo.metro.ca,Grocery Stores,Consumer Defensive,"Metro Inc. operates as a retailer and distributor in the food and pharmaceutical sectors in Canada. It operates food stores, including supermarkets and discount stores that provide fresh and grocery products, baked goods, prepared foods, meats, general merchandise, non-perishable goods, dairy products, bakery products, pastries, and deli products, as well as Mediterranean and Middle-Eastern products; and drug stores and pharmacies. As of September 29, 2018, the company operated a network of 333 supermarkets under the Metro and Metro Plus brands; 97 discount stores under the Super C brand name; 57 stores under the MarchÃ© Richelieu brand; and 131 discount stores under the Food Basics brand name. It also operates 12 stores under the Adonis banner and 27 stores under the PremiÃ¨re Moisson banner. As of the above date, the company operated 28 drugstores under the Drug Basics banner and 44 drugstores under the Metro Pharmacy banner. In addition, it acts as a franchisor and distribut",4
NVR,NVR Inc.,Reston,Virginia,United states of america,20,Medium,20th percentile,6.4,8.3,5.3,Moderate,56.27515911,14700000000,New York Stock Exchange,Paul C. Saville,https://financialmodelingprep.com/images-New-jpg/NVR.jpg,http://www.nvrinc.com,Homebuilding & Construction,Consumer Cyclical,"NVR Inc is a United States based company engaged in the construction and sale of single-family detached homes, town homes and condominium buildings. It also operates in mortgage banking and title services business.",4
TTC,Toro Company (The),Bloomington,Minnesota,United states of america,20,Negligible,18th percentile,6,10,4,Moderate,42.57337151,8620000000,New York Stock Exchange,Richard M. Olson,https://financialmodelingprep.com/images-New-jpg/TTC.jpg,http://www.thetorocompany.com,Industrial Products,Industrials,"The Toro Co manufactures tools and equipment for outdoor maintenance. The company develops products such as reel and rotary riding products, trim cutting and walking mowers, greens rollers, turf sprayer equipment, and underground irrigation systems.",4
UPS,United Parcel Service Inc.,Atlanta,Georgia,United states of america,20,Low,19th percentile,5.4,8.4,6.1,Significant,20.02460781,92600000000,New York Stock Exchange,David P. Abney,https://financialmodelingprep.com/images-New-jpg/UPS.jpg,http://www.ups.com,Transportation & Logistics,Industrials,"United Parcel Service Inc is a package delivery organization and provider of supply chain management solutions. Its services include transportation, distribution, contract logistics, ground freight, ocean freight, air freight, insurance and financing.",4
CP,Canadian Pacific Railway Limited,Calgary,Alberta,Canada,21,Medium,23rd percentile,6.6,10.7,3.9,Moderate,43.53676388,36900000000,New York Stock Exchange,Keith E. Creel,https://financialmodelingprep.com/images-New-jpg/CP.jpg,http://www.cpr.ca,Transportation & Logistics,Industrials,"Canadian Pacific Railway Ltd is engaged in rail transportation. It provides freight transportation services, logistics solutions, and supply chain expertise in Canada and the United States.",4
CCI,Crown Castle International Corp. (REIT),Houston,Texas,United states of america,21,Medium,22nd percentile,9,5.4,6.2,Low,30.85703765,62800000000,New York Stock Exchange,Jay A. Brown,https://financialmodelingprep.com/images-New-jpg/CCI.jpg,http://www.crowncastle.com,REITs,Real Estate,"Crown Castle International Corp operates wireless tower communication sites in the United States. It owns, operates and leases shared wireless infrastructure, including towers and other structures. Site rental generates maximum revenue for the company.",4
DHI,D.R. Horton Inc.,Arlington,Texas,United states of america,21,Medium,22nd percentile,7.5,7.5,5.9,Moderate,52.19272937,22100000000,New York Stock Exchange,David V. Auld,https://financialmodelingprep.com/images-New-jpg/DHI.jpg,http://www.drhorton.com,Homebuilding & Construction,Consumer Cyclical,"D.R. Horton Inc is a residential homebuilder. It constructs for the purpose of sale, homes in the states and metropolitan markets of the United States, under the names of D.R. Horton, America's Builder, Emerald Homes and Breland Homes.",4
GRMN,Garmin Ltd.,Schaffhausen,Schaffhausen,Switzerland,21,Medium,23rd percentile,5.3,9.8,6.1,Low,54.07454201,18900000000,Nasdaq Global Select,Clifton A. Pemble,https://financialmodelingprep.com/images-New-jpg/GRMN.jpg,http://www.garmin.com,Computer Hardware,Technology,"Garmin Ltd designs, develops, manufactures, markets and distributes hand-held, wrist-based, portable, fixed-mount, positioning system enabled and other navigation, communication and sensor-based products.",4
HDS,HD Supply Holdings Inc.,Atlanta,Georgia,United states of america,21,Medium,23rd percentile,5.7,7.8,7.5,Low,7.196162047,6710000000,Nasdaq Global Select,Joseph J. Deangelo,https://financialmodelingprep.com/images-New-jpg/HDS.jpg,http://www.hdsupply.com,Industrial Distribution,Industrials,"HD Supply Holdings Inc is an industrial distributor. It provides a broad range of products and value-added services to customers in various sectors such as maintenance, repair and operations, infrastructure and power and specialty construction.",4
HLT,Hilton Worldwide Holdings Inc.,Mc lean,Virginia,United states of america,21,Medium,21st percentile,8.3,8.3,4,Moderate,54.47075209,30800000000,New York Stock Exchange,Christopher J. Nassetta,https://financialmodelingprep.com/images-New-jpg/HLT.jpg,http://www.hiltonworldwide.com,Travel & Leisure,Consumer Cyclical,"Hilton Worldwide Holdings Inc operates hotels and resorts. The company manages a total or approximately 750,000 rooms across over 10 brands. Some of its brands include Hampton, Hilton, Home2, Curio, Canopy, and Tru.",4
ITW,Illinois Tool Works Inc.,Glenview,Illinois,United states of america,21,Medium,22nd percentile,4.8,9.6,6.2,Moderate,41.78703923,57200000000,New York Stock Exchange,E. Scott Santi,https://financialmodelingprep.com/images-New-jpg/ITW.jpg,http://www.itw.com,Industrial Products,Industrials,Illinois Tool Works Inc manufactures diversified range of industrial products and equipment. Its segments are Automotive OEM; Food Equipment; Test & Measurement and Electronics; Welding; Polymers & Fluids; Construction Products; and Specialty Products.,4
JBHT,J.B. Hunt Transport Services Inc.,Lowell,Arkansas,United states of america,21,Medium,23rd percentile,6.3,8.4,6.3,Low,25.51590714,11900000000,Nasdaq Global Select,John N. Roberts,https://financialmodelingprep.com/images-New-jpg/JBHT.jpg,http://www.jbhunt.com,Transportation & Logistics,Industrials,"JB Hunt Transport Services Inc, together with its wholly owned subsidiaries provides surface transportation and delivery services to a group of customers and consumers throughout the continental United States, Canada and Mexico.",4
TER,Teradyne Inc.,North reading,Massachusetts,United states of america,21,Medium,22nd percentile,7.7,6.6,6.4,,117.3040153,11500000000,New York Stock Exchange,Mark E. Jagiela,https://financialmodelingprep.com/images-New-jpg/TER.jpg,http://www.teradyne.com,Semiconductors,Technology,"Teradyne Inc caters to the semiconductor industry. Its products include test systems used to test semiconductors, wireless products, hard disk drives, solid state disks and circuit boards.",4
TOL,Toll Brothers Inc.,Horsham,Pennsylvania,United states of america,21,Medium,23rd percentile,7.7,8.3,5.1,Moderate,19.98177953,6260000000,New York Stock Exchange,Douglas C. Yearley,https://financialmodelingprep.com/images-New-jpg/TOL.jpg,http://www.TollBrothers.com,Homebuilding & Construction,Consumer Cyclical,"Toll Brothers Inc is a luxury homebuilder in the United States. The company caters to move-up, active-adult, and second-home buyers. It also builds luxury for-sale and for-rent properties in urban centers, primarily on the East Coast.",4
UNP,Union Pacific Corporation,Omaha,Nebraska,United states of america,21,Medium,22nd percentile,6.8,10.5,3.6,Moderate,30.78926427,1.27E+11,New York Stock Exchange,Lance M. Fritz,https://financialmodelingprep.com/images-New-jpg/UNP.jpg,http://www.up.com,Transportation & Logistics,Industrials,"Union Pacific Corp belongs to the rail transport industry. It provides railroad freight transportation services in North America. It transports coal, rocks, soda ash, and grains.",4
CL,Colgate-Palmolive Company,New york city,New york,United states of america,22,Medium,27th percentile,6.5,8.9,6.7,Significant,15.65860215,59500000000,New York Stock Exchange,Ian M. Cook,https://financialmodelingprep.com/images-New-jpg/CL.jpg,https://www.colgatepalmolive.com,Consumer Packaged Goods,Consumer Defensive,"Colgate-Palmolive Co is a consumer products company. It provides services such as oral care, personal care, home care and pet nutrition.",4
CSX,CSX Corporation,Jacksonville,Florida,United states of america,22,Medium,28th percentile,6.8,12.4,3.3,Significant,16.46547562,60500000000,Nasdaq Global Select,James M. Foote,https://financialmodelingprep.com/images-New-jpg/CSX.jpg,http://www.csx.com,Transportation & Logistics,Industrials,"CSX Corp is a railroad operating company with operations spread across the Eastern United States. The company hauls shipments of coal products, chemicals, intermodal containers, and a diverse mix of other merchandise.",4
DRI,Darden Restaurants Inc.,Orlando,Florida,United states of america,22,Medium,27th percentile,5.9,11.9,4.6,Moderate,9.162827959,14400000000,New York Stock Exchange,,https://financialmodelingprep.com/images-New-jpg/DRI.jpg,http://www.darden.com,Restaurants,Consumer Cyclical,"Darden Restaurants Inc is engaged in the food & beverage industry. Its primary occupation involves the operation of dining restaurants under trade names such as Olive Garden, LongHorn Steakhouse and Bahama Breeze.",4
FAST,Fastenal Company,Winona,Minnesota,United states of america,22,Medium,26th percentile,7.2,7.8,7.1,Moderate,41.3001912,20700000000,Nasdaq Global Select,Daniel L. Florness,https://financialmodelingprep.com/images-New-jpg/FAST.jpg,http://www.fastenal.com,Industrial Distribution,Industrials,"Fastenal Co is an industrial supplies company. It distributes maintains, repairs, and operates supplies to industrial and construction customers. Its product portfolio includes OEM fasteners, safety products, tools and equipment.",4
FDX,FedEx Corporation,Memphis,Tennessee,United states of america,22,Medium,24th percentile,6.2,9.1,6.2,Significant,-6.272856877,38700000000,New York Stock Exchange,Frederick W. Smith,https://financialmodelingprep.com/images-New-jpg/FDX.jpg,http://www.fedex.com,Transportation & Logistics,Industrials,"FedEx Corp is the world's largest express courier delivery firm. The company provides courier services through various divisions which include express, ground, office, freight, cross border, trade networks and supply chain.",4
GIS,General Mills Inc.,Minneapolis,Minnesota,United states of america,22,Medium,28th percentile,6.8,9.9,5.7,Significant,37.54494093,32500000000,New York Stock Exchange,Jeffrey L. Harmening,https://financialmodelingprep.com/images-New-jpg/GIS.jpg,http://www.generalmills.com,Consumer Packaged Goods,Consumer Defensive,"General Mills Inc is a global manufacturer and marketer of branded consumer foods, such as ready-to-eat breakfast cereals, refrigerated dough and other baking items, snack foods, ice cream, and yogurt.",4
KSU,Kansas City Southern,Kansas city,Missouri,United states of america,22,Medium,28th percentile,8.8,9.9,3.9,Moderate,60.46097433,16400000000,New York Stock Exchange,Patrick J. Ottensmeyer,https://financialmodelingprep.com/images-New-jpg/KSU.jpg,http://www.kcsouthern.com,Transportation & Logistics,Industrials,Kansas City Southern is engaged in the development of roadways and railways. The company is focused on growing the north/south freight corridor connecting key commercial and industrial markets in the United States.,4
KMB,Kimberly-Clark Corporation,Irving,Texas,United states of america,22,Medium,26th percentile,7.6,7.4,6.9,Significant,20.72143233,49400000000,New York Stock Exchange,Thomas J. Falk,https://financialmodelingprep.com/images-New-jpg/KMB.jpg,http://www.kimberly-clark.com,Consumer Packaged Goods,Consumer Defensive,"Kimberly-Clark Corp is engaged in the manufacturing and marketing of a range of products made from natural or synthetic fibers using technologies in fibers, nonwovens, and absorbency. It offers personal care, consumer tissue, and K-C professional.",4
MGA,Magna International Inc.,Aurora,Ontario,Canada,22,Medium,25th percentile,5.6,9.9,6.2,Low,20.66006601,15800000000,New York Stock Exchange,Donald J. Walker,https://financialmodelingprep.com/images-New-jpg/MGA.jpg,http://www.magna.com,Autos,Consumer Cyclical,"Magna International Inc is an auto parts supplier. Its products include chassis, interior, exterior, seating and powertrain.",4
MRVL,Marvell Technology Group Ltd.,Hamilton,,Bermuda,22,Medium,26th percentile,5.8,8.8,7.5,Moderate,64.05188388,16600000000,Nasdaq Global Select,Matthew J. Murphy,https://financialmodelingprep.com/images-New-jpg/MRVL.jpg,http://www.marvell.com,Semiconductors,Technology,"Marvell Technology Group Ltd and its subsidiaries is a fabless semiconductor provider of application-specific standard products. The Company's product portfolio includes devices for storage, networking and connectivity.",4
PEP,PepsiCo Inc.,Purchase,New york,United states of america,22,Medium,26th percentile,7.3,9.8,4.9,Significant,23.70564808,2.01E+11,Nasdaq Global Select,Indra K. Nooyi,https://financialmodelingprep.com/images-New-jpg/PEP.jpg,http://www.pepsico.com,Beverages - Non-Alcoholic,Consumer Defensive,"PepsiCo Inc is a food, snack and beverage company. It manufactures, markets, distributes and sells convenient and enjoyable beverages, foods and snacks, serving customers and consumers in more than 200 countries and territories.",4
PHM,PulteGroup Inc.,Atlanta,Georgia,United states of america,22,Medium,26th percentile,7.6,9.1,5.2,Moderate,49.28818776,12400000000,New York Stock Exchange,Ryan R Marshall,https://financialmodelingprep.com/images-New-jpg/PHM.jpg,http://www.pultegroupinc.com,Homebuilding & Construction,Consumer Cyclical,PulteGroup Inc is engaged in the homebuilding business. Its business includes the acquisition and development of land for residential purposes within the U.S. It is also engaged in mortgage banking operations.,4
ROK,Rockwell Automation Inc.,Milwaukee,Wisconsin,United states of america,22,Medium,28th percentile,6.6,9.1,6.8,Moderate,34.68234981,22500000000,New York Stock Exchange,Blake D. Moret,https://financialmodelingprep.com/images-New-jpg/ROK.jpg,http://www.rockwellautomation.com,Industrial Products,Industrials,Rockwell Automation Inc engages in providing industrial automation and information solutions to make its customers more productive and the world more sustainable. It operates in two segments: architecture and software and control products and solutions.,4
ROL,Rollins Inc.,Atlanta,Georgia,United states of america,22,Medium,27th percentile,9.9,6.9,5.4,,-8.144044321,12500000000,New York Stock Exchange,Gary W. Rollins,https://financialmodelingprep.com/images-New-jpg/ROL.jpg,http://www.rollins.com,Business Services,Industrials,Rollins Inc offers pest and termite control services to residential and commercial customers in North America with international franchises in Central America and others. The company operates in one business segment that is Pest and Termite Control.,4
RCL,Royal Caribbean Cruises Ltd.,Miami,Florida,United states of america,22,Medium,26th percentile,9.9,8,4.1,Significant,36.52725228,25100000000,New York Stock Exchange,Richard D. Fain,https://financialmodelingprep.com/images-New-jpg/RCL.jpg,http://www.rclcorporate.com,Travel & Leisure,Consumer Cyclical,"Royal Caribbean Cruises Ltd is a global cruise company. It owns and operates three global cruise brands: Royal Caribbean International, Celebrity Cruises and Azamara Club Cruises.",4
CLX,Clorox Company (The),Oakland,California,United states of america,23,Medium,31st percentile,8.2,8,7.3,Moderate,-0.38925652,19600000000,New York Stock Exchange,,https://financialmodelingprep.com/images-New-jpg/CLX.jpg,http://www.thecloroxcompany.com,Consumer Packaged Goods,Consumer Defensive,"Clorox Co is engaged in the household product market. The Company sells its products primarily through grocery stores, e-commerce channels and medical supply distributors.",4
STZ,Constellation Brands Inc.,Victor,New york,United states of america,23,Medium,29th percentile,7.5,9.3,6.1,Moderate,17.98905609,36600000000,New York Stock Exchange,Robert Sands,https://financialmodelingprep.com/images-New-jpg/STZ.jpg,http://www.cbrands.com,Beverages - Alcoholic,Consumer Defensive,"Constellation Brands Inc is engaged in the beverage industry. Its core products are alcoholic drinks such as beers, wines and other spirits.",4
COST,Costco Wholesale Corporation,Issaquah,Washington,United states of america,23,Medium,28th percentile,5,10.8,6.7,Significant,44.28354033,1.37E+11,Nasdaq Global Select,W. Craig Jelinek,https://financialmodelingprep.com/images-New-jpg/COST.jpg,http://www.costco.com,Retail - Defensive,Consumer Defensive,Costco Wholesale Corp and its subsidiaries operate membership warehouses. The company offers its members low prices on a limited selection of nationally branded and select private-label products in merchandise categories.,4
EMR,Emerson Electric Company,St. louis,Missouri,United states of america,23,Medium,31st percentile,7.1,8.4,7.9,Moderate,27.63179916,45100000000,New York Stock Exchange,,https://financialmodelingprep.com/images-New-jpg/EMR.jpg,http://www.emerson.com,Industrial Products,Industrials,"Emerson Electric Co is engaged in designing and supplying products and technology, and delivering engineering services and solutions in industrial, commercial and consumer markets.",4
KAR,KAR Auction Services Inc,Carmel,Indiana,United states of america,23,Medium,30th percentile,5.6,12.4,5.2,,20.65337763,2790000000,New York Stock Exchange,James P. Hallett,https://financialmodelingprep.com/images-New-jpg/KAR.jpg,http://www.karauctionservices.com,Retail - Apparel & Specialty,Consumer Cyclical,"KAR Auction Services Inc is a used car dealer with operations in US and Canada. The firm offers a total package for wholesale-used car transactions. Its services include financing, repossessions, repairs, transportation, warranty, and inventory services.",4
LEN,Lennar Corporation Class A,Miami,Florida,United states of america,23,Medium,31st percentile,7.9,9.3,6.2,Moderate,42.50319285,20700000000,New York Stock Exchange,Stuart A. Miller,https://financialmodelingprep.com/images-New-jpg/LEN.jpg,http://www.lennar.com,Homebuilding & Construction,Consumer Cyclical,"Lennar Corp is a homebuilding service provider. Its operations include the construction and sale of single-family attached and detached homes, and to a lesser extent multi-level residential buildings.",4
XLNX,Xilinx Inc.,San jose,California,United states of america,23,Medium,29th percentile,9.6,5.9,7.5,,14.79394153,21700000000,Nasdaq Global Select,Victor Peng,https://financialmodelingprep.com/images-New-jpg/XLNX.jpg,http://www.xilinx.com,Semiconductors,Technology,"Xilinx Inc is a semiconductor manufacturing company. It engages in designing programmable logic such as chips for multiple applications that include communications, data processing, industrial, and automobile markets.",4
BWA,BorgWarner Inc.,Auburn hills,Michigan,United states of america,24,Medium,31st percentile,5.1,10.8,7.6,Moderate,24.87046632,7240000000,New York Stock Exchange,James R. Verrier,https://financialmodelingprep.com/images-New-jpg/BWA.jpg,http://www.borgwarner.com,Autos,Consumer Cyclical,"BorgWarner Inc is a supplier of auto parts. Its products comprise technologies for combustion, hybrid and electric vehicles. The company operates in two business segments that are Engine and Drivetrain. The Engine segment generates maximum revenue.",4
CPB,Campbell Soup Company,Camden,New jersey,United states of america,24,Medium,34th percentile,9,9.9,5.5,Moderate,49.8029706,14800000000,New York Stock Exchange,Denise M. Morrison,https://financialmodelingprep.com/images-New-jpg/CPB.jpg,http://www.campbellsoupcompany.com,Consumer Packaged Goods,Consumer Defensive,"Campbell Soup Co operates in the packaged foods industry. The products within its scope include meals and beverages, biscuits and snacks.",4
ES,Eversource Energy (D/B/A),Springfield,Massachusetts,United states of america,24,Medium,33rd percentile,7.8,9.6,6.6,Moderate,30.79643296,30200000000,New York Stock Exchange,James J. Judge,https://financialmodelingprep.com/images-New-jpg/ES.jpg,https://www.eversource.com,Utilities - Regulated,Utilities,"Eversource Energy is a public utility holding company, which is engaged in the energy delivery business. The company operates through electric distribution, electric transmission and natural gas distribution segments.",4
KMI,Kinder Morgan Inc.,Houston,Texas,United states of america,24,Medium,32nd percentile,9.4,10.2,4.2,Moderate,37.64629389,48500000000,New York Stock Exchange,Steven J. Kean,https://financialmodelingprep.com/images-New-jpg/KMI.jpg,http://www.kindermorgan.com,Oil & Gas - Midstream,Energy,"Kinder Morgan Inc is an energy infrastructure company. The Company transports natural gas, refined petroleum products, crude oil, condensate, CO2 and other products.",4
