Ticker,Company Name,HQ City,HQ State/Province,HQ Country,ESG Risk Score,ESG Risk Score Level,ESG Risk Score Percentile,Environment Risk Score,Social Risk Score,Governance Risk Score,Controversy Level Risk Text,2019 Performance,Market Cap,Exchange,CEO,Logo Image URL,Website URL,Industry,Sector,Company Description,Grouping
CNI,Canadian National Railway Company,Montreal,Quebec,Canada,18,Low,15th percentile,5.9,9,3.5,Moderate,22.04830657,68100000000,New York Stock Exchange,Luc Jobin,https://financialmodelingprep.com/images-New-jpg/CNI.jpg,http://www.cn.ca,Transportation & Logistics,Industrials,Canadian National Railway Co is engaged in the transport sector. Its primary occupation is the rail and related transportation business.,4
HEIA.AS,Heineken N.V.,Amsterdam,Noord-holland,Netherlands,18,Negligible,15th percentile,5,8,6,Significant,22.95336788,56300000000,Amsterdam,,https://financialmodelingprep.com/images-New-jpg/HEIA.AS.jpg,http://www.theheinekencompany.com,Beveragesâ€”Brewers,Consumer Defensive,"Heineken N.V. engages in brewing and selling beer and cider. The company operates through Africa, Middle East & Eastern Europe; Americas; Asia Pacific; and Europe segments. It offers beer, cider, soft drinks, and other beverages. The company offers its beers under the Heineken, Amstel, Desperados, Sol, Tiger, Tecate, Red Stripe, Kru?ovice, Birra Morett, Affligem, Lagunitas, and Mort Subite brands, as well as under various other regional and local brands; and cider under the Strongbow Apple Ciders, Orchard Thieves, Stassen, Bulmers, Old Mout, and Blind Pig brands. It offers its products to retailers, bars, and restaurants through distributors. The company was founded in 1864 and is headquartered in Amsterdam, the Netherlands. Heineken N.V. is a subsidiary of Heineken Holding N.V.",4
AD.AS,Koninklijke Ahold Delhaize N.V.,Zaandam,Noord-holland,Netherlands,18,Negligible,13th percentile,5,8,4,Moderate,0.996376812,24300000000,Amsterdam,,https://financialmodelingprep.com/images-New-jpg/AD.AS.jpg,http://www.aholddelhaize.com,Grocery Stores,Consumer Defensive,"Koninklijke Ahold Delhaize N.V. operates retail food stores primarily in the United States and Europe. The company's store formats include supermarkets, convenience stores, compact hypermarkets, cash and carry, drugstores, hypermarkets, and wine and liquor stores. As of December 30, 2018, it operated 6,769 stores primarily under 19 brands serving approximately 50 million customers, as well as online. The company was formerly known as Koninklijke Ahold N.V. and changed its name to Koninklijke Ahold Delhaize N.V. in July 2016. Koninklijke Ahold Delhaize N.V. was founded in 1887 and is headquartered in Zaandam, the Netherlands.",4
O,Realty Income Corporation,San diego,California,United states of america,18,Low,15th percentile,6.7,6.7,4.9,Low,16.79885787,25700000000,New York Stock Exchange,John P. Case,https://financialmodelingprep.com/images-New-jpg/O.jpg,http://www.realtyincome.com,REITs,Real Estate,"Realty Income Corp owns, manages and leases over 5,000 properties across U.S and Puerto Rico. It operates a diversified portfolio of properties that includes commercial, manufacturing and distribution facilities.",4
AC.PA,Accor SA,Issy-les-moulineaux,Ile-de-france,France,19,Negligible,16th percentile,7,7,5,Moderate,12.50336836,10100000000,Paris,,https://financialmodelingprep.com/images-New-jpg/AC.PA.jpg,http://group.accor.com/en,Lodging,Consumer Cyclical,"Accor SA operates a chain of hotels worldwide. It operates through three segments: HotelServices, Hotel Assets & Others, and New Businesses. The company owns, operates, manages, and franchises hotels. It also provides digital solutions to independent hotel operators and restaurant owners through Fastbooking, Availpro, ResDiary, and Adoria platforms; and hotel booking services for travels agencies and corporates through Gekko solutions. In addition, the company offers concierge services; and digital sales through VeryChic, which offers private sales with luxury and high-end partner, as well as rents private luxury homes comprising onefinestay, Travel Keys, and Squarebreak. Accor SA was founded in 1967 and is headquartered in Issy-les-Moulineaux, France.",4
DE,Deere & Company,Moline,Illinois,United states of america,19,Low,16th percentile,4.3,11.1,3.5,Moderate,16.14935979,50700000000,New York Stock Exchange,Samuel R. Allen,https://financialmodelingprep.com/images-New-jpg/DE.jpg,http://www.deere.com,Farm & Construction Machinery,Industrials,"Deere & Co is engaged in manufacturing agricultural, construction, turf, and forestry machinery. It also provides secured and lease-based financing to support dealer inventory and customer purchases.",4
KLAC,KLA-Tencor Corporation,Milpitas,California,United states of america,19,Low,17th percentile,5.7,7.2,6.3,,99.09487094,27300000000,Nasdaq Global Select,Richard P. Wallace,https://financialmodelingprep.com/images-New-jpg/KLAC.jpg,http://www.kla-tencor.com,Semiconductors,Technology,KLA-Tencor Corp designs and manufactures yield-management and process-monitoring systems for the semiconductor industry. The company also provides systems for optical metrology and e-beam metrology.,4
DSM.AS,Koninklijke DSM N.V.,Heerlen,Limburg,Netherlands,19,Negligible,17th percentile,9,5,6,Low,62.51399776,19300000000,Amsterdam,,https://financialmodelingprep.com/images-New-jpg/DSM.AS.jpg,http://www.dsm.com,Specialty Chemicals,Basic Materials,"Koninklijke DSM N.V., a science-based company, engages in nutrition, health, and materials businesses in the Netherlands, North America, the United Kingdom, France, Germany, Switzerland, the Asia-Pacific, and internationally.. The company operates through Nutrition, Materials, and Innovation Center segments. The Nutrition segment offers nutrients, such as vitamins, carotenoids, nutritional lipids, and other ingredients to feed, food, pharmaceutical, and personal care industries; and food enzymes, cultures, yeast extracts, savory flavors, hydrocolloids, and other specialty ingredients for dairy, baking, beverage, and savory applications. The Materials segment provides specialty plastics for the electrical and electronics, automotive, flexible food packaging, and consumer goods industries; Dyneema, a fiber solution for protective solutions and commercial marine applications; and resins solutions for paints and industrial, and optical fiber coatings. The Innovation Center segmen",4
TAP,Molson Coors Brewing Company Class B,Denver,Colorado,United states of america,19,Low,18th percentile,5.5,7.9,6.1,Moderate,-4.024216524,12200000000,New York Stock Exchange,Mark R. Hunter,https://financialmodelingprep.com/images-New-jpg/TAP.jpg,http://www.molsoncoors.com,Beverages - Alcoholic,Consumer Defensive,"Molson Coors Brewing Co is engaged in brewing activities. It has a diverse portfolio of owned and partner brands, including core brands Carling, Coors Light, Molson Canadian and Staropramen, as well as craft and specialty beers such as Blue Moon.",4
WPC,W.P. Carey Inc. REIT,New york city,New york,United states of america,19,Low,18th percentile,6.8,6.6,6.1,,22.49770432,14600000000,New York Stock Exchange,Jason E. Fox,https://financialmodelingprep.com/images-New-jpg/WPC.jpg,http://www.wpcarey.com,Real Estate Services,Real Estate,"W.P. Carey Inc operates as a self-managed diversified real estate investment trust. The company owns and manages commercial real estate, leased to companies on a long-term basis.",4
